date,source,title,summary,text
2026-04-08,prescraped,Adam Back says he is not Bitcoin founder Satoshi Nakamoto - BBC,Adam Back says he is not Bitcoin founder Satoshi Nakamoto  BBC,Adam Back says he is not Bitcoin founder Satoshi Nakamoto - BBC. Adam Back says he is not Bitcoin founder Satoshi Nakamoto  BBC
2026-04-09,prescraped,NYT thinks it solved Bitcoin’s biggest mystery - Morning Brew,NYT thinks it solved Bitcoin’s biggest mystery  Morning Brew,NYT thinks it solved Bitcoin’s biggest mystery - Morning Brew. NYT thinks it solved Bitcoin’s biggest mystery  Morning Brew
2026-04-09,prescraped,Why a Single Bitcoin Allocation Beats Holding Multiple Altcoins | 2026 Analysis - News and Statistics - IndexBox,Why a Single Bitcoin Allocation Beats Holding Multiple Altcoins | 2026 Analysis - News and Statistics  IndexBox,Why a Single Bitcoin Allocation Beats Holding Multiple Altcoins | 2026 Analysis - News and Statistics - IndexBox. Why a Single Bitcoin Allocation Beats Holding Multiple Altcoins | 2026 Analysis - News and Statistics  IndexBox
2026-04-08,prescraped,Morgan Stanley’s Bitcoin ETF began trading. An analyst put it in the top 1% of ETF launches - Fortune,Morgan Stanley’s Bitcoin ETF began trading. An analyst put it in the top 1% of ETF launches  Fortune,Morgan Stanley’s Bitcoin ETF began trading. An analyst put it in the top 1% of ETF launches - Fortune. Morgan Stanley’s Bitcoin ETF began trading. An analyst put it in the top 1% of ETF launches  Fortune
2026-04-08,prescraped,"Bitcoin news: BTC's next bull run to be driven by banking and digital credit, says Strategy's Michael Saylor - CoinDesk","Bitcoin news: BTC's next bull run to be driven by banking and digital credit, says Strategy's Michael Saylor  CoinDesk","Bitcoin news: BTC's next bull run to be driven by banking and digital credit, says Strategy's Michael Saylor - CoinDesk. Bitcoin news: BTC's next bull run to be driven by banking and digital credit, says Strategy's Michael Saylor  CoinDesk"
2026-04-08,prescraped,Adam Back Denies He Is Satoshi Nakamoto in Response to Times Investigation - The New York Times,Adam Back Denies He Is Satoshi Nakamoto in Response to Times Investigation  The New York Times,Adam Back Denies He Is Satoshi Nakamoto in Response to Times Investigation - The New York Times. Adam Back Denies He Is Satoshi Nakamoto in Response to Times Investigation  The New York Times
2026-04-09,prescraped,Bitcoin Depot reveals $3.7 million stolen from company wallets in security breach - The Block,Bitcoin Depot reveals $3.7 million stolen from company wallets in security breach  The Block,Bitcoin Depot reveals $3.7 million stolen from company wallets in security breach - The Block. Bitcoin Depot reveals $3.7 million stolen from company wallets in security breach  The Block
2026-04-08,prescraped,"The New York Times says it found Satoshi Nakamoto, the inventor of Bitcoin. Not so fast - Fortune","The New York Times says it found Satoshi Nakamoto, the inventor of Bitcoin. Not so fast  Fortune","The New York Times says it found Satoshi Nakamoto, the inventor of Bitcoin. Not so fast - Fortune. The New York Times says it found Satoshi Nakamoto, the inventor of Bitcoin. Not so fast  Fortune"
2026-04-09,prescraped,"Bitcoin under $71,000, ETH, SOL, XRP drop as Iran ceasefire frays within 48 hours of being signed - CoinDesk","Bitcoin under $71,000, ETH, SOL, XRP drop as Iran ceasefire frays within 48 hours of being signed  CoinDesk","Bitcoin under $71,000, ETH, SOL, XRP drop as Iran ceasefire frays within 48 hours of being signed - CoinDesk. Bitcoin under $71,000, ETH, SOL, XRP drop as Iran ceasefire frays within 48 hours of being signed  CoinDesk"
2026-04-08,prescraped,Bitcoin payments allowed for Hormuz tanker tolls as Iran seeks up to $2 million per ship: FT - The Block,Bitcoin payments allowed for Hormuz tanker tolls as Iran seeks up to $2 million per ship: FT  The Block,Bitcoin payments allowed for Hormuz tanker tolls as Iran seeks up to $2 million per ship: FT - The Block. Bitcoin payments allowed for Hormuz tanker tolls as Iran seeks up to $2 million per ship: FT  The Block
2026-04-09,prescraped,Morgan Stanley’s bitcoin ETF draws $34 million on day one - CoinDesk,Morgan Stanley’s bitcoin ETF draws $34 million on day one  CoinDesk,Morgan Stanley’s bitcoin ETF draws $34 million on day one - CoinDesk. Morgan Stanley’s bitcoin ETF draws $34 million on day one  CoinDesk
2026-04-09,prescraped,Bithumb turns to legal action to recover lost bitcoin in 'fat finger' incident: report - The Block,Bithumb turns to legal action to recover lost bitcoin in 'fat finger' incident: report  The Block,Bithumb turns to legal action to recover lost bitcoin in 'fat finger' incident: report - The Block. Bithumb turns to legal action to recover lost bitcoin in 'fat finger' incident: report  The Block
2026-04-08,prescraped,Iran demands crypto fees for ships passing Hormuz during ceasefire - Financial Times,Iran demands crypto fees for ships passing Hormuz during ceasefire  Financial Times,Iran demands crypto fees for ships passing Hormuz during ceasefire - Financial Times. Iran demands crypto fees for ships passing Hormuz during ceasefire  Financial Times
2026-04-08,prescraped,"Bitcoin, solana surge as Iran looks to charge tolls for Strait of Hormuz passage to be paid in crypto - Yahoo Finance","Bitcoin, solana surge as Iran looks to charge tolls for Strait of Hormuz passage to be paid in crypto  Yahoo Finance","Bitcoin, solana surge as Iran looks to charge tolls for Strait of Hormuz passage to be paid in crypto - Yahoo Finance. Bitcoin, solana surge as Iran looks to charge tolls for Strait of Hormuz passage to be paid in crypto  Yahoo Finance"
2026-04-08,prescraped,Iran Demands Bitcoin and Crypto for Strait of Hormuz Toll Payments - Gizmodo,Iran Demands Bitcoin and Crypto for Strait of Hormuz Toll Payments  Gizmodo,Iran Demands Bitcoin and Crypto for Strait of Hormuz Toll Payments - Gizmodo. Iran Demands Bitcoin and Crypto for Strait of Hormuz Toll Payments  Gizmodo
2026-04-08,prescraped,‘Will Be Destroyed’—Iran’s Bitcoin Toll Sparks $100K Price Prediction - Forbes,‘Will Be Destroyed’—Iran’s Bitcoin Toll Sparks $100K Price Prediction  Forbes,‘Will Be Destroyed’—Iran’s Bitcoin Toll Sparks $100K Price Prediction - Forbes. ‘Will Be Destroyed’—Iran’s Bitcoin Toll Sparks $100K Price Prediction  Forbes
2026-04-08,prescraped,British computer scientist denies he is bitcoin developer Satoshi Nakamoto - The Guardian,British computer scientist denies he is bitcoin developer Satoshi Nakamoto  The Guardian,British computer scientist denies he is bitcoin developer Satoshi Nakamoto - The Guardian. British computer scientist denies he is bitcoin developer Satoshi Nakamoto  The Guardian
2026-04-08,prescraped,My quest to solve bitcoin’s great mystery - TribLIVE.com,My quest to solve bitcoin’s great mystery  TribLIVE.com,My quest to solve bitcoin’s great mystery - TribLIVE.com. My quest to solve bitcoin’s great mystery  TribLIVE.com
2026-04-09,prescraped,Why The Price of Bitcoin Still Captures the Market’s Attention - Thousand Oaks Acorn,Why The Price of Bitcoin Still Captures the Market’s Attention  Thousand Oaks Acorn,Why The Price of Bitcoin Still Captures the Market’s Attention - Thousand Oaks Acorn. Why The Price of Bitcoin Still Captures the Market’s Attention  Thousand Oaks Acorn
2026-04-08,prescraped,Donald Trump’s Billion-Dollar Bitcoin Blowout Exposed - The Daily Beast,Donald Trump’s Billion-Dollar Bitcoin Blowout Exposed  The Daily Beast,Donald Trump’s Billion-Dollar Bitcoin Blowout Exposed - The Daily Beast. Donald Trump’s Billion-Dollar Bitcoin Blowout Exposed  The Daily Beast
2026-04-08,prescraped,Nunchuk Releases Open-Source Tools For Bitcoin Agents With Bounded Authority - Bitcoin Magazine,Nunchuk Releases Open-Source Tools For Bitcoin Agents With Bounded Authority  Bitcoin Magazine,Nunchuk Releases Open-Source Tools For Bitcoin Agents With Bounded Authority - Bitcoin Magazine. Nunchuk Releases Open-Source Tools For Bitcoin Agents With Bounded Authority  Bitcoin Magazine
2026-04-09,prescraped,Garfield High bomb threat connected to bitcoin ransom - The Seattle Times,Garfield High bomb threat connected to bitcoin ransom  The Seattle Times,Garfield High bomb threat connected to bitcoin ransom - The Seattle Times. Garfield High bomb threat connected to bitcoin ransom  The Seattle Times
2026-04-08,prescraped,How The Trumps Blew $1 Billion On Bitcoin - Forbes,How The Trumps Blew $1 Billion On Bitcoin  Forbes,How The Trumps Blew $1 Billion On Bitcoin - Forbes. How The Trumps Blew $1 Billion On Bitcoin  Forbes
2026-04-08,prescraped,"Adam Back Says Quantum Threat to Bitcoin Is Decades Away, Urges Gradual Migration to Post-Quantum Security - Bitcoin Magazine","Adam Back Says Quantum Threat to Bitcoin Is Decades Away, Urges Gradual Migration to Post-Quantum Security  Bitcoin Magazine","Adam Back Says Quantum Threat to Bitcoin Is Decades Away, Urges Gradual Migration to Post-Quantum Security - Bitcoin Magazine. Adam Back Says Quantum Threat to Bitcoin Is Decades Away, Urges Gradual Migration to Post-Quantum Security  Bitcoin Magazine"
2026-04-09,prescraped,"Bitcoin Is 'A Very Visible And Obvious Honeypot,' Investor Chamath Palihapitiya Says As Quantum Threat Looms - Yahoo Finance","Bitcoin Is 'A Very Visible And Obvious Honeypot,' Investor Chamath Palihapitiya Says As Quantum Threat Looms  Yahoo Finance","Bitcoin Is 'A Very Visible And Obvious Honeypot,' Investor Chamath Palihapitiya Says As Quantum Threat Looms - Yahoo Finance. Bitcoin Is 'A Very Visible And Obvious Honeypot,' Investor Chamath Palihapitiya Says As Quantum Threat Looms  Yahoo Finance"
2026-04-08,prescraped,Bitcoin Is Down 45% From Its All-Time High -- Here's What History Says Happens Next - Yahoo Finance,Bitcoin Is Down 45% From Its All-Time High -- Here's What History Says Happens Next  Yahoo Finance,Bitcoin Is Down 45% From Its All-Time High -- Here's What History Says Happens Next - Yahoo Finance. Bitcoin Is Down 45% From Its All-Time High -- Here's What History Says Happens Next  Yahoo Finance
2026-04-08,prescraped,1 in 6 Iranians Turn to Bitcoin Amid Crisis - ETF Trends,1 in 6 Iranians Turn to Bitcoin Amid Crisis  ETF Trends,1 in 6 Iranians Turn to Bitcoin Amid Crisis - ETF Trends. 1 in 6 Iranians Turn to Bitcoin Amid Crisis  ETF Trends
2026-04-08,prescraped,Morgan Stanley Debuts Bitcoin ETF as Price Slump Rattles Holders - Bloomberg.com,Morgan Stanley Debuts Bitcoin ETF as Price Slump Rattles Holders  Bloomberg.com,Morgan Stanley Debuts Bitcoin ETF as Price Slump Rattles Holders - Bloomberg.com. Morgan Stanley Debuts Bitcoin ETF as Price Slump Rattles Holders  Bloomberg.com
2026-04-08,prescraped,British cryptographer Adam Back denies NYT report that he is Bitcoin creator Satoshi Nakamoto - TechCrunch,British cryptographer Adam Back denies NYT report that he is Bitcoin creator Satoshi Nakamoto  TechCrunch,British cryptographer Adam Back denies NYT report that he is Bitcoin creator Satoshi Nakamoto - TechCrunch. British cryptographer Adam Back denies NYT report that he is Bitcoin creator Satoshi Nakamoto  TechCrunch
2026-04-08,prescraped,Morgan Stanley Bitcoin ETF gets off to a strong start with $33m debut - dlnews.com,Morgan Stanley Bitcoin ETF gets off to a strong start with $33m debut  dlnews.com,Morgan Stanley Bitcoin ETF gets off to a strong start with $33m debut - dlnews.com. Morgan Stanley Bitcoin ETF gets off to a strong start with $33m debut  dlnews.com
2026-04-08,prescraped,"Did The NYT Identify Bitcoin's Creator? Morgan Stanley Launches ETF, Cryptos Rally. - Investor's Business Daily","Did The NYT Identify Bitcoin's Creator? Morgan Stanley Launches ETF, Cryptos Rally.  Investor's Business Daily","Did The NYT Identify Bitcoin's Creator? Morgan Stanley Launches ETF, Cryptos Rally. - Investor's Business Daily. Did The NYT Identify Bitcoin's Creator? Morgan Stanley Launches ETF, Cryptos Rally.  Investor's Business Daily"
2026-04-08,prescraped,"Bitcoin Pioneer Adam Back, Bernstein Say Quantum Threat to BTC Isn’t Existential - Yahoo Finance","Bitcoin Pioneer Adam Back, Bernstein Say Quantum Threat to BTC Isn’t Existential  Yahoo Finance","Bitcoin Pioneer Adam Back, Bernstein Say Quantum Threat to BTC Isn’t Existential - Yahoo Finance. Bitcoin Pioneer Adam Back, Bernstein Say Quantum Threat to BTC Isn’t Existential  Yahoo Finance"
2026-04-08,prescraped,Iran Demanding Huge Bitcoin Payments to Pass Through Strait of Hormuz - futurism.com,Iran Demanding Huge Bitcoin Payments to Pass Through Strait of Hormuz  futurism.com,Iran Demanding Huge Bitcoin Payments to Pass Through Strait of Hormuz - futurism.com. Iran Demanding Huge Bitcoin Payments to Pass Through Strait of Hormuz  futurism.com
2026-04-08,prescraped,Adam Back denies being Bitcoin creator Satoshi Nakamoto - qz.com,Adam Back denies being Bitcoin creator Satoshi Nakamoto  qz.com,Adam Back denies being Bitcoin creator Satoshi Nakamoto - qz.com. Adam Back denies being Bitcoin creator Satoshi Nakamoto  qz.com
2026-04-08,prescraped,Adam Back denies he’s Satoshi Nakamoto after NYT report claims he’s Bitcoin’s creator - CoinDesk,Adam Back denies he’s Satoshi Nakamoto after NYT report claims he’s Bitcoin’s creator  CoinDesk,Adam Back denies he’s Satoshi Nakamoto after NYT report claims he’s Bitcoin’s creator - CoinDesk. Adam Back denies he’s Satoshi Nakamoto after NYT report claims he’s Bitcoin’s creator  CoinDesk
2026-04-09,prescraped,Bitcoin Golden Cross Trend Enters Flow State: Why The Next 2-3 Weeks Are Important - TradingView,Bitcoin Golden Cross Trend Enters Flow State: Why The Next 2-3 Weeks Are Important  TradingView,Bitcoin Golden Cross Trend Enters Flow State: Why The Next 2-3 Weeks Are Important - TradingView. Bitcoin Golden Cross Trend Enters Flow State: Why The Next 2-3 Weeks Are Important  TradingView
2026-04-08,prescraped,"Morgan Stanley's bitcoin ETF opens today, giving BlackRock’s $55 billion IBIT fund its toughest rival yet - CoinDesk","Morgan Stanley's bitcoin ETF opens today, giving BlackRock’s $55 billion IBIT fund its toughest rival yet  CoinDesk","Morgan Stanley's bitcoin ETF opens today, giving BlackRock’s $55 billion IBIT fund its toughest rival yet - CoinDesk. Morgan Stanley's bitcoin ETF opens today, giving BlackRock’s $55 billion IBIT fund its toughest rival yet  CoinDesk"
2026-04-08,prescraped,Can bitcoin prices hit $80K by the end of this year? - Yahoo Finance,Can bitcoin prices hit $80K by the end of this year?  Yahoo Finance,Can bitcoin prices hit $80K by the end of this year? - Yahoo Finance. Can bitcoin prices hit $80K by the end of this year?  Yahoo Finance
2026-04-08,prescraped,Morgan Stanley Enters Bitcoin World With Low-Cost ETF - ETF Database,Morgan Stanley Enters Bitcoin World With Low-Cost ETF  ETF Database,Morgan Stanley Enters Bitcoin World With Low-Cost ETF - ETF Database. Morgan Stanley Enters Bitcoin World With Low-Cost ETF  ETF Database
2026-04-09,prescraped,"All about Peter Schiff’s latest jab at Bitcoin, Strategy, and Michael Saylor - AMBCrypto","All about Peter Schiff’s latest jab at Bitcoin, Strategy, and Michael Saylor  AMBCrypto","All about Peter Schiff’s latest jab at Bitcoin, Strategy, and Michael Saylor - AMBCrypto. All about Peter Schiff’s latest jab at Bitcoin, Strategy, and Michael Saylor  AMBCrypto"
2026-04-08,prescraped,"Bernstein Pushes Back On Bitcoin Quantum Threat Fears, Says It’s Not A Crisis: Report - Bitcoin Magazine","Bernstein Pushes Back On Bitcoin Quantum Threat Fears, Says It’s Not A Crisis: Report  Bitcoin Magazine","Bernstein Pushes Back On Bitcoin Quantum Threat Fears, Says It’s Not A Crisis: Report - Bitcoin Magazine. Bernstein Pushes Back On Bitcoin Quantum Threat Fears, Says It’s Not A Crisis: Report  Bitcoin Magazine"
2026-04-09,prescraped,"BOB (Build on Bitcoin) price today, BOB to USD live price, marketcap and chart - CoinMarketCap","BOB (Build on Bitcoin) price today, BOB to USD live price, marketcap and chart  CoinMarketCap","BOB (Build on Bitcoin) price today, BOB to USD live price, marketcap and chart - CoinMarketCap. BOB (Build on Bitcoin) price today, BOB to USD live price, marketcap and chart  CoinMarketCap"
2026-04-08,prescraped,New XFUNDS ETF toggles between bitcoin overnight and Treasuries by day - The Block,New XFUNDS ETF toggles between bitcoin overnight and Treasuries by day  The Block,New XFUNDS ETF toggles between bitcoin overnight and Treasuries by day - The Block. New XFUNDS ETF toggles between bitcoin overnight and Treasuries by day  The Block
2026-04-08,prescraped,"The New York Times says it has identified Satoshi, bitcoin’s inventor. The crypto industry doesn’t seem to care. - MarketWatch","The New York Times says it has identified Satoshi, bitcoin’s inventor. The crypto industry doesn’t seem to care.  MarketWatch","The New York Times says it has identified Satoshi, bitcoin’s inventor. The crypto industry doesn’t seem to care. - MarketWatch. The New York Times says it has identified Satoshi, bitcoin’s inventor. The crypto industry doesn’t seem to care.  MarketWatch"
2026-04-09,prescraped,Morgan Stanley Bitcoin ETF Launch Tests Crypto Fees And Wealth Strategy - simplywall.st,Morgan Stanley Bitcoin ETF Launch Tests Crypto Fees And Wealth Strategy  simplywall.st,Morgan Stanley Bitcoin ETF Launch Tests Crypto Fees And Wealth Strategy - simplywall.st. Morgan Stanley Bitcoin ETF Launch Tests Crypto Fees And Wealth Strategy  simplywall.st
2026-04-08,prescraped,Move over bitcoin and quantum risks. Anthropic's Mythos AI could have major implications for DeFi - CoinDesk,Move over bitcoin and quantum risks. Anthropic's Mythos AI could have major implications for DeFi  CoinDesk,Move over bitcoin and quantum risks. Anthropic's Mythos AI could have major implications for DeFi - CoinDesk. Move over bitcoin and quantum risks. Anthropic's Mythos AI could have major implications for DeFi  CoinDesk
2026-04-09,prescraped,MARA Holdings (MARA) Is Up 18.2% After Pivoting Bitcoin Proceeds Into Debt Cuts And AI Capacity – Has The Bull Case Changed? - simplywall.st,MARA Holdings (MARA) Is Up 18.2% After Pivoting Bitcoin Proceeds Into Debt Cuts And AI Capacity – Has The Bull Case Changed?  simplywall.st,MARA Holdings (MARA) Is Up 18.2% After Pivoting Bitcoin Proceeds Into Debt Cuts And AI Capacity – Has The Bull Case Changed? - simplywall.st. MARA Holdings (MARA) Is Up 18.2% After Pivoting Bitcoin Proceeds Into Debt Cuts And AI Capacity – Has The Bull Case Changed?  simplywall.st
2026-04-08,prescraped,"Iran ceasefire market moves: bitcoin prices surge, Exxon stock falls - Yahoo Finance","Iran ceasefire market moves: bitcoin prices surge, Exxon stock falls  Yahoo Finance","Iran ceasefire market moves: bitcoin prices surge, Exxon stock falls - Yahoo Finance. Iran ceasefire market moves: bitcoin prices surge, Exxon stock falls  Yahoo Finance"
2026-04-08,prescraped,Bitcoin Clears $71K As AI & Privacy Tokens Race Ahead By DailyCoin - Investing.com,Bitcoin Clears $71K As AI & Privacy Tokens Race Ahead By DailyCoin  Investing.com,Bitcoin Clears $71K As AI & Privacy Tokens Race Ahead By DailyCoin - Investing.com. Bitcoin Clears $71K As AI & Privacy Tokens Race Ahead By DailyCoin  Investing.com
2026-04-09,prescraped,US spot Bitcoin ETFs see $125M outflow despite BlackRock inflow - Crypto Briefing,US spot Bitcoin ETFs see $125M outflow despite BlackRock inflow  Crypto Briefing,US spot Bitcoin ETFs see $125M outflow despite BlackRock inflow - Crypto Briefing. US spot Bitcoin ETFs see $125M outflow despite BlackRock inflow  Crypto Briefing
2026-04-08,prescraped,Bitcoin Price Surges Above a Key Level. XRP and Cryptos Rally on Iran Hope. - Barron's,Bitcoin Price Surges Above a Key Level. XRP and Cryptos Rally on Iran Hope.  Barron's,Bitcoin Price Surges Above a Key Level. XRP and Cryptos Rally on Iran Hope. - Barron's. Bitcoin Price Surges Above a Key Level. XRP and Cryptos Rally on Iran Hope.  Barron's
2026-04-08,prescraped,Has the identity of bitcoin’s mystery creator been unchained? - Sherwood News,Has the identity of bitcoin’s mystery creator been unchained?  Sherwood News,Has the identity of bitcoin’s mystery creator been unchained? - Sherwood News. Has the identity of bitcoin’s mystery creator been unchained?  Sherwood News
2026-04-09,prescraped,Is CleanSpark’s (CLSK) March Bitcoin Output Hinting At Durable Scale Or Just Peak Intensity? - simplywall.st,Is CleanSpark’s (CLSK) March Bitcoin Output Hinting At Durable Scale Or Just Peak Intensity?  simplywall.st,Is CleanSpark’s (CLSK) March Bitcoin Output Hinting At Durable Scale Or Just Peak Intensity? - simplywall.st. Is CleanSpark’s (CLSK) March Bitcoin Output Hinting At Durable Scale Or Just Peak Intensity?  simplywall.st
2026-04-08,prescraped,Another crypto company sells Bitcoin amid 50% crash - thestreet.com,Another crypto company sells Bitcoin amid 50% crash  thestreet.com,Another crypto company sells Bitcoin amid 50% crash - thestreet.com. Another crypto company sells Bitcoin amid 50% crash  thestreet.com
2026-04-08,prescraped,Did the New York Times uncover bitcoin's creator? - Yahoo Finance,Did the New York Times uncover bitcoin's creator?  Yahoo Finance,Did the New York Times uncover bitcoin's creator? - Yahoo Finance. Did the New York Times uncover bitcoin's creator?  Yahoo Finance
2026-04-08,prescraped,Iran Wants Bitcoin Payments From Oil Ships Seeking Hormuz Passage: FT - Yahoo,Iran Wants Bitcoin Payments From Oil Ships Seeking Hormuz Passage: FT  Yahoo,Iran Wants Bitcoin Payments From Oil Ships Seeking Hormuz Passage: FT - Yahoo. Iran Wants Bitcoin Payments From Oil Ships Seeking Hormuz Passage: FT  Yahoo
2026-04-08,prescraped,Bitcoin Depot (NASDAQ: BTM) details $3.665M Bitcoin cyber theft loss - Stock Titan,Bitcoin Depot (NASDAQ: BTM) details $3.665M Bitcoin cyber theft loss  Stock Titan,Bitcoin Depot (NASDAQ: BTM) details $3.665M Bitcoin cyber theft loss - Stock Titan. Bitcoin Depot (NASDAQ: BTM) details $3.665M Bitcoin cyber theft loss  Stock Titan
2026-04-08,prescraped,Iran to Accept Bitcoin for Strait of Hormuz Transit as Ceasefire Takes Hold - Bitcoin Magazine,Iran to Accept Bitcoin for Strait of Hormuz Transit as Ceasefire Takes Hold  Bitcoin Magazine,Iran to Accept Bitcoin for Strait of Hormuz Transit as Ceasefire Takes Hold - Bitcoin Magazine. Iran to Accept Bitcoin for Strait of Hormuz Transit as Ceasefire Takes Hold  Bitcoin Magazine
2026-04-08,prescraped,Cryptocurrencies: Bitcoin Reaches 3-Week High - ETF Database,Cryptocurrencies: Bitcoin Reaches 3-Week High  ETF Database,Cryptocurrencies: Bitcoin Reaches 3-Week High - ETF Database. Cryptocurrencies: Bitcoin Reaches 3-Week High  ETF Database
2026-04-08,prescraped,New Bitcoin ETF Chases Gains That Come While Wall Street Sleeps - Bloomberg.com,New Bitcoin ETF Chases Gains That Come While Wall Street Sleeps  Bloomberg.com,New Bitcoin ETF Chases Gains That Come While Wall Street Sleeps - Bloomberg.com. New Bitcoin ETF Chases Gains That Come While Wall Street Sleeps  Bloomberg.com
2026-04-08,prescraped,Bitcoin Depot reports $3.7 million cryptocurrency theft from cyber attack - Investing.com,Bitcoin Depot reports $3.7 million cryptocurrency theft from cyber attack  Investing.com,Bitcoin Depot reports $3.7 million cryptocurrency theft from cyber attack - Investing.com. Bitcoin Depot reports $3.7 million cryptocurrency theft from cyber attack  Investing.com
2026-04-08,prescraped,Iran Wants Bitcoin Payments From Oil Ships Seeking Hormuz Passage: FT - Decrypt,Iran Wants Bitcoin Payments From Oil Ships Seeking Hormuz Passage: FT  Decrypt,Iran Wants Bitcoin Payments From Oil Ships Seeking Hormuz Passage: FT - Decrypt. Iran Wants Bitcoin Payments From Oil Ships Seeking Hormuz Passage: FT  Decrypt
2026-04-08,prescraped,"Bitcoin price analysis: BTC is rallying, but caution warranted - CoinDesk","Bitcoin price analysis: BTC is rallying, but caution warranted  CoinDesk","Bitcoin price analysis: BTC is rallying, but caution warranted - CoinDesk. Bitcoin price analysis: BTC is rallying, but caution warranted  CoinDesk"
2026-04-08,prescraped,"Has Satoshi Nakamoto Finally Been Unmasked? Believe It or Not, Bitcoin is Rising - Investopedia","Has Satoshi Nakamoto Finally Been Unmasked? Believe It or Not, Bitcoin is Rising  Investopedia","Has Satoshi Nakamoto Finally Been Unmasked? Believe It or Not, Bitcoin is Rising - Investopedia. Has Satoshi Nakamoto Finally Been Unmasked? Believe It or Not, Bitcoin is Rising  Investopedia"
2026-04-09,prescraped,Riot Platforms (RIOT) Soars 13.5% After Cashing In $102M From Bitcoin - Yahoo Finance,Riot Platforms (RIOT) Soars 13.5% After Cashing In $102M From Bitcoin  Yahoo Finance,Riot Platforms (RIOT) Soars 13.5% After Cashing In $102M From Bitcoin - Yahoo Finance. Riot Platforms (RIOT) Soars 13.5% After Cashing In $102M From Bitcoin  Yahoo Finance
2026-04-08,prescraped,Morgan Stanley Launched the First Bank-Issued Bitcoin ETF Today - FinTech Weekly,Morgan Stanley Launched the First Bank-Issued Bitcoin ETF Today  FinTech Weekly,Morgan Stanley Launched the First Bank-Issued Bitcoin ETF Today - FinTech Weekly. Morgan Stanley Launched the First Bank-Issued Bitcoin ETF Today  FinTech Weekly
